,Tipo,Calendario,Clasificacion,Anio_prueba,Nombre_Colegio,Municipio,Departamento
5143,OFICIAL,A,B,2018,IE GONZALO MEJIA ECHEVERRY,PEREIRA,RISARALDA
5144,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA DEPARTAMENTAL CACIQUE ANAMAY,NIMAIMA,CUNDINAMARCA
5145,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA BARBACOA,TUCHÍN,CÓRDOBA
5146,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA EL CONTENTO,PUEBLO NUEVO,CÓRDOBA
5147,OFICIAL,A,C,2018,I.E. LAS VUELTAS,CURITÍ,SANTANDER
5148,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA  ISLANDA,EL CARMEN DE CHUCURÍ,SANTANDER
5149,OFICIAL,A,C,2018,I. E. BRAULIO MEJIA,SONSÓN,ANTIOQUIA
5150,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA DE SANTA LIBRADA,CALI,VALLE DEL CAUCA
5151,OFICIAL,A,D,2018,IE NUESTRA SEÑORA DE LA POBREZA,MEDIO BAUDÓ,CHOCÓ
5152,OFICIAL,A,B,2018,COLEGIO ALBERTO SANTOS BUITRAGO,SOCORRO,SANTANDER
5153,OFICIAL,A,A,2018,COLEGIO GUILLERMO SUÁREZ DÍAZ,SOCORRO,SANTANDER
5154,OFICIAL,A,C,2018,INSTITUCION EDUCATIVA  JESUS DE PRAGA,SANDONÁ,NARIÑO
5155,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA EL PARAMO,TAMINANGO,NARIÑO
5156,OFICIAL,A,D,2018,INSTITUCI¿N ETNOEDUCATIVA RURAL INTERNADO DE NAZARETH,URIBIA,LA GUAJIRA
5157,OFICIAL,A,D,2018,INST EDUC MARIA INMACULADA,SAN MARCOS,SUCRE
5158,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA SIETE DE AGOSTO,CALI,VALLE DEL CAUCA
5159,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA SIETE DE AGOSTO,CALI,VALLE DEL CAUCA
5160,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA DEPARTAMENTAL DE LA PACHA,SAN SEBASTIÁN DE BUENAVISTA,MAGDALENA
5161,OFICIAL,A,A,2018,COLEGIO INTEGRADO PABLO VI,LA PAZ,SANTANDER
5162,OFICIAL,A,D,2018,I. E. R. CACERI,CAUCASIA,ANTIOQUIA
5163,OFICIAL,A,A,2018,COLEGIO NUESTRA SEÑORA DE FATIMA,JORDÁN,SANTANDER
5164,OFICIAL,A,B,2018,INST EDUC ALFONSO UPEGUI OROZCO,MEDELLÍN,ANTIOQUIA
5165,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA  CIRALES,EL CARMEN DE CHUCURÍ,SANTANDER
5166,OFICIAL,A,C,2018,IE NUESTRA SEÑORA DE LA MACARENA,LA MACARENA,META
5167,OFICIAL,A,C,2018,IE NUEVO HORIZONTE,LA MACARENA,META
5168,OFICIAL,A,A,2018,I. E. JOSEFINA MUÑOZ GONZALEZ,RIONEGRO,ANTIOQUIA
5169,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA DEPARTAMENTAL MITSILOU CAMPBELL,EL BANCO,MAGDALENA
5170,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA DEPARTAMENTAL ROBERTO ROBLES DE ALGARROBAL,EL BANCO,MAGDALENA
5171,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA SUPIA,SUPÍA,CALDAS
5172,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA SUPIA,SUPÍA,CALDAS
5173,OFICIAL,A,D,2018,INSTITUCION EDUCATIVA AURELIANO FLOREZ CARDONA,ANSERMA,CALDAS
5174,OFICIAL,A,B,2018,INSTITUCION EDUCATIVA AURELIANO FLOREZ CARDONA,ANSERMA,CALDAS
5175,OFICIAL,A,B,2018,IE HAROLD EDER,PALMIRA,VALLE DEL CAUCA
5176,OFICIAL,A,A,2018,IE JORGE ELIECER GAITAN,PALMIRA,VALLE DEL CAUCA
5177,OFICIAL,A,D,2018,SAN RAFAEL,BUENAVENTURA,VALLE DEL CAUCA
5178,OFICIAL,A,D,2018,IE LORGIA DE ARCO,MOÑITOS,CÓRDOBA
